product_name,sugar_g,carbs_g,calories,sodium_mg,fat_g,age_group,bmi_category,diabetes_type,label
Baked lotus paste mooncake with two egg yolks,0.0,20.5,223.0,0.0,13.79,adult,normal,1,Caution
Baked lotus paste mooncake with two egg yolks,0.0,20.5,223.0,0.0,13.79,adult,overweight,2,Not Recommended
Baked lotus paste mooncake with two egg yolks,0.0,20.5,223.0,0.0,13.79,elderly,normal,2,Not Recommended
Baked lotus paste mooncake with two egg yolks,0.0,20.5,223.0,0.0,13.79,child,normal,1,Caution
Baked lotus paste mooncake with two egg yolks,0.0,20.5,223.0,0.0,13.79,child,normal,0,Caution
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,adult,normal,0,Recommended
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,adult,overweight,0,Recommended
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,adult,normal,1,Recommended
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,adult,overweight,2,Recommended
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,elderly,normal,2,Recommended
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,child,normal,1,Recommended
Cumi-cumi,0.0,0.1,75.0,37.0,0.7,child,normal,0,Recommended
"Kunyit, segar",0.0,9.1,69.0,6.0,2.7,adult,normal,0,Recommended
"Kunyit, segar",0.0,9.1,69.0,6.0,2.7,adult,overweight,0,Recommended
"Kunyit, segar",0.0,9.1,69.0,6.0,2.7,adult,normal,1,Recommended
"Kunyit, segar",0.0,9.1,69.0,6.0,2.7,adult,overweight,2,Recommended
"Kunyit, segar",0.0,9.1,69.0,6.0,2.7,elderly,normal,2,Recommended
"Kunyit, segar",0.0,9.1,69.0,6.0,2.7,child,normal,1,Recommended
"Kunyit, segar",0.0,9.1,69.0,6.0,2.7,child,normal,0,Recommended
The coffe bean & tea leaf black forest ice blended drink,76.0,89.0,490.0,0.0,10.0,adult,normal,0,Not Recommended
The coffe bean & tea leaf black forest ice blended drink,76.0,89.0,490.0,0.0,10.0,adult,overweight,0,Not Recommended
The coffe bean & tea leaf black forest ice blended drink,76.0,89.0,490.0,0.0,10.0,adult,normal,1,Not Recommended
The coffe bean & tea leaf black forest ice blended drink,76.0,89.0,490.0,0.0,10.0,adult,overweight,2,Not Recommended
The coffe bean & tea leaf black forest ice blended drink,76.0,89.0,490.0,0.0,10.0,elderly,normal,2,Not Recommended
The coffe bean & tea leaf black forest ice blended drink,76.0,89.0,490.0,0.0,10.0,child,normal,1,Not Recommended
The coffe bean & tea leaf black forest ice blended drink,76.0,89.0,490.0,0.0,10.0,child,normal,0,Not Recommended
Coklat silverqueen almond,11.0,14.0,170.0,0.0,11.0,adult,normal,0,Caution
Coklat silverqueen almond,11.0,14.0,170.0,0.0,11.0,adult,overweight,0,Caution
Coklat silverqueen almond,11.0,14.0,170.0,0.0,11.0,adult,normal,1,Not Recommended
Coklat silverqueen almond,11.0,14.0,170.0,0.0,11.0,adult,overweight,2,Not Recommended
Coklat silverqueen almond,11.0,14.0,170.0,0.0,11.0,elderly,normal,2,Not Recommended
Coklat silverqueen almond,11.0,14.0,170.0,0.0,11.0,child,normal,1,Not Recommended
Coklat silverqueen almond,11.0,14.0,170.0,0.0,11.0,child,normal,0,Caution
"Daun gedi besar, segar",0.0,10.0,58.0,30.0,0.7,adult,normal,0,Recommended
"Daun gedi besar, segar",0.0,10.0,58.0,30.0,0.7,adult,overweight,0,Recommended
"Daun gedi besar, segar",0.0,10.0,58.0,30.0,0.7,adult,normal,1,Recommended
"Daun gedi besar, segar",0.0,10.0,58.0,30.0,0.7,adult,overweight,2,Recommended
"Daun gedi besar, segar",0.0,10.0,58.0,30.0,0.7,elderly,normal,2,Recommended
"Daun gedi besar, segar",0.0,10.0,58.0,30.0,0.7,child,normal,1,Recommended
"Daun gedi besar, segar",0.0,10.0,58.0,30.0,0.7,child,normal,0,Recommended
Kopi hitam tanpa gula,0.0,0.09,2.0,0.0,0.05,adult,normal,0,Recommended
Kopi hitam tanpa gula,0.0,0.09,2.0,0.0,0.05,adult,overweight,0,Recommended
Kopi hitam tanpa gula,0.0,0.09,2.0,0.0,0.05,adult,normal,1,Recommended
Kopi hitam tanpa gula,0.0,0.09,2.0,0.0,0.05,adult,overweight,2,Recommended
Kopi hitam tanpa gula,0.0,0.09,2.0,0.0,0.05,elderly,normal,2,Recommended
Kopi hitam tanpa gula,0.0,0.09,2.0,0.0,0.05,child,normal,1,Recommended
Kopi hitam tanpa gula,0.0,0.09,2.0,0.0,0.05,child,normal,0,Recommended
Tumis keumamah,0.0,15.5,300.0,0.0,20.0,adult,normal,0,Caution
Tumis keumamah,0.0,15.5,300.0,0.0,20.0,adult,overweight,0,Caution
Tumis keumamah,0.0,15.5,300.0,0.0,20.0,adult,normal,1,Caution
Tumis keumamah,0.0,15.5,300.0,0.0,20.0,adult,overweight,2,Not Recommended
Tumis keumamah,0.0,15.5,300.0,0.0,20.0,elderly,normal,2,Not Recommended
Tumis keumamah,0.0,15.5,300.0,0.0,20.0,child,normal,1,Caution
Tumis keumamah,0.0,15.5,300.0,0.0,20.0,child,normal,0,Caution
Regal Biskuit Marie,0.0,12.0,70.0,45.0,2.0,adult,normal,0,Recommended
Regal Biskuit Marie,0.0,12.0,70.0,45.0,2.0,adult,overweight,0,Recommended
Regal Biskuit Marie,0.0,12.0,70.0,45.0,2.0,adult,normal,1,Recommended
Regal Biskuit Marie,0.0,12.0,70.0,45.0,2.0,adult,overweight,2,Recommended
Regal Biskuit Marie,0.0,12.0,70.0,45.0,2.0,elderly,normal,2,Recommended
Regal Biskuit Marie,0.0,12.0,70.0,45.0,2.0,child,normal,1,Recommended
Regal Biskuit Marie,0.0,12.0,70.0,45.0,2.0,child,normal,0,Recommended
Teh hijau daun kering,0.0,53.6,300.0,60.0,4.8,adult,normal,0,Caution
Teh hijau daun kering,0.0,53.6,300.0,60.0,4.8,adult,overweight,0,Caution
Teh hijau daun kering,0.0,53.6,300.0,60.0,4.8,adult,normal,1,Not Recommended
Teh hijau daun kering,0.0,53.6,300.0,60.0,4.8,adult,overweight,2,Not Recommended
Teh hijau daun kering,0.0,53.6,300.0,60.0,4.8,elderly,normal,2,Not Recommended
Teh hijau daun kering,0.0,53.6,300.0,60.0,4.8,child,normal,1,Not Recommended
Teh hijau daun kering,0.0,53.6,300.0,60.0,4.8,child,normal,0,Caution
Susu ultra milk rasa coklat 200 ml,0.0,24.0,160.0,45.0,4.0,adult,normal,0,Recommended
Susu ultra milk rasa coklat 200 ml,0.0,24.0,160.0,45.0,4.0,adult,overweight,0,Recommended
Susu ultra milk rasa coklat 200 ml,0.0,24.0,160.0,45.0,4.0,adult,normal,1,Caution
Susu ultra milk rasa coklat 200 ml,0.0,24.0,160.0,45.0,4.0,adult,overweight,2,Caution
